date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:37:13	24230/24230	---M-Z	200	added ('OK')	text/html	etag:W/%225ac1e89a-5ea6%22	https://technext.github.io/health-center/index.html	/home/kumartej/websites/Medico5/technext.github.io/health-center/index.html	(from )
13:37:14	5232/5232	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%226317e2ab-247b%22	https://technext.github.io/robots.txt		(from )
13:37:15	121260/121260	---M-Z	200	added ('OK')	text/css	etag:W/%225ac1e89a-1d9ac%22	https://technext.github.io/health-center/css/bootstrap.min.css	/home/kumartej/websites/Medico5/technext.github.io/health-center/css/bootstrap.min.css	(from https://technext.github.io/health-center/index.html)
13:37:16	31000/31000	---M-Z	200	added ('OK')	text/css	etag:W/%225ac1e89a-7918%22	https://technext.github.io/health-center/css/font-awesome.min.css	/home/kumartej/websites/Medico5/technext.github.io/health-center/css/font-awesome.min.css	(from https://technext.github.io/health-center/index.html)
13:37:17	72922/72922	---M-Z	200	added ('OK')	text/css	etag:W/%225ac1e89a-11cda%22	https://technext.github.io/health-center/css/animate.css	/home/kumartej/websites/Medico5/technext.github.io/health-center/css/animate.css	(from https://technext.github.io/health-center/index.html)
13:37:17	4028/4028	---M-Z	200	added ('OK')	text/css	etag:W/%225ac1e89a-fbc%22	https://technext.github.io/health-center/css/owl.carousel.css	/home/kumartej/websites/Medico5/technext.github.io/health-center/css/owl.carousel.css	(from https://technext.github.io/health-center/index.html)
13:37:18	936/936	---M-Z	200	added ('OK')	text/css	etag:W/%225ac1e89a-3a8%22	https://technext.github.io/health-center/css/owl.theme.default.min.css	/home/kumartej/websites/Medico5/technext.github.io/health-center/css/owl.theme.default.min.css	(from https://technext.github.io/health-center/index.html)
13:37:19	18173/18173	---M-Z	200	added ('OK')	text/css	etag:W/%225ac1e89a-46fd%22	https://technext.github.io/health-center/css/tooplate-style.css	/home/kumartej/websites/Medico5/technext.github.io/health-center/css/tooplate-style.css	(from https://technext.github.io/health-center/index.html)
13:37:21	8754/8754	---M--	200	added ('OK')	image/jpeg	etag:%225ac1e89a-2232%22	https://technext.github.io/health-center/images/author-image.jpg	/home/kumartej/websites/Medico5/technext.github.io/health-center/images/author-image.jpg	(from https://technext.github.io/health-center/index.html)
13:37:21	44974/44974	---M--	200	added ('OK')	image/jpeg	etag:%225ac1e89a-afae%22	https://technext.github.io/health-center/images/team-image1.jpg	/home/kumartej/websites/Medico5/technext.github.io/health-center/images/team-image1.jpg	(from https://technext.github.io/health-center/index.html)
13:37:22	39904/39904	---M--	200	added ('OK')	image/jpeg	etag:%225ac1e89a-9be0%22	https://technext.github.io/health-center/images/team-image2.jpg	/home/kumartej/websites/Medico5/technext.github.io/health-center/images/team-image2.jpg	(from https://technext.github.io/health-center/index.html)
